建筑面积,建设年代,1990-1995年住宅面积分布,,1996-2000年住宅面积分布,,2001-2005年住宅面积分布,,2006-2010年住宅面积分布,,2011-2015年住宅面积分布,,2016-2020年住宅面积分布,,,,,
112.5,1990,112.5,1990,131.5,1996,57.8,2000,142.3,2006,178.5,2011,146.4,2016,,,,
112.1,1990,112.1,1990,127,1996,160.9,2001,126.1,2006,178.5,2011,145,2016,,,,
110.4,1990,110.4,1990,121.9,1996,158.9,2001,122.8,2006,172,2011,144.4,2016,,,,
110,1990,110,1990,116,1996,154,2001,122,2006,170.3,2011,138.2,2016,,,,
102.1,1990,102.1,1990,115.7,1996,149.2,2001,122,2006,146.1,2011,136.6,2016,,,,
102,1990,102,1990,113.4,1996,145.6,2001,121.2,2006,145.9,2011,126.2,2016,,,,
102,1990,102,1990,112.8,1996,144.7,2001,118.9,2006,143.6,2011,125,2016,,,,
101.4,1990,101.4,1990,106.3,1996,144.1,2001,118.3,2006,142.6,2011,122.7,2016,,,,
96,1990,96,1990,104.7,1996,136.8,2001,117.5,2006,136.5,2011,119.2,2016,,,,
93.5,1990,93.5,1990,103.9,1996,134.7,2001,117,2006,134,2011,119.1,2016,,,,
91.8,1990,91.8,1990,102.6,1996,128.4,2001,114.8,2006,131.9,2011,117.5,2016,,,,
91,1990,91,1990,100.2,1996,127.7,2001,114.2,2006,130,2011,112.8,2016,,,,
89.5,1990,89.5,1990,98.5,1996,126.1,2001,114,2006,127,2011,112.5,2016,,,,
89.5,1990,89.5,1990,98,1996,124.4,2001,109.7,2006,121.2,2011,110.4,2016,,,,
89.3,1990,89.3,1990,96.3,1996,124.1,2001,109.5,2006,118.5,2011,110,2016,,,,
86.3,1990,86.3,1990,96.3,1996,124.1,2001,104,2006,114.4,2011,107.4,2016,,,,
82.6,1990,82.6,1990,96.3,1996,123.7,2001,103,2006,110.8,2011,107.4,2016,,,,
82.6,1990,82.6,1990,95.9,1996,115,2001,102,2006,110,2011,107.4,2016,,,,
81.5,1990,81.5,1990,95.9,1996,113.1,2001,98.5,2006,109.8,2011,106.2,2016,,,,
80.9,1990,80.9,1990,95.8,1996,110.9,2001,98.5,2006,105.6,2011,98,2016,,,,
80.5,1990,80.5,1990,95,1996,110.3,2001,98.5,2006,104,2011,97.6,2016,,,,
80.4,1990,80.4,1990,93.9,1996,110.3,2001,98.5,2006,102.7,2011,96.7,2016,,,,
78.6,1990,78.6,1990,93.6,1996,110,2001,96.1,2006,100.8,2011,96.7,2016,,,,
76,1990,76,1990,93.3,1996,110,2001,96,2006,98,2011,96.7,2016,,,,
74.8,1990,74.8,1990,93,1996,110,2001,90.7,2006,96.9,2011,96,2016,,,,
73.1,1990,73.1,1990,93,1996,110,2001,85,2006,95,2011,96,2016,,,,
71.6,1990,71.6,1990,92.6,1996,110,2001,85,2006,95,2011,96,2016,,,,
70,1990,70,1990,91,1996,109.9,2001,83.7,2006,95,2011,93.9,2016,,,,
68,1990,68,1990,88,1996,109.6,2001,82.7,2006,95,2011,91.4,2016,,,,
67.9,1990,67.9,1990,87.2,1996,108,2001,37.1,2006,92.5,2011,91.4,2016,,,,
67.6,1990,67.6,1990,86.8,1996,107.9,2001,196.7,2007,92.4,2011,68.7,2016,,,,
