建筑面积,有无电梯,户型建筑总开间,户型建筑总进深,总价,建筑总楼,梯户比例,建设年代,所在区域,入户大门朝向,客厅面积,客厅朝向,客厅开间,客厅进深
68,1,12652,5424,430,10,一梯四户,1990,2,4,14.1 ,3,3251,4164
60.5,2,5058,10718,125,4,一梯二梯,1990,3,3,18.2 ,2,2405,5528
101.4,1,8977,11013,258,6,一梯二梯,1990,3,3,20.0 ,7,4500,5114
89.5,2,7902,14031,580,9,一梯四户,1990,1,3,23.8 ,3,2978,7496
78.6,2,9847,8564,420,9,一梯四户,1990,1,1,22.1 ,3,3184,5630
67.6,2,9744,8375,139,9,一梯两户,1990,2,4,20.2 ,7,6436,3094
102,1,9256,13299,600,12,一梯两户,1990,1,4,39.6 ,3,4500,7936
89.3,2,6032,12938,390,7,一梯七户,1990,2,1,23.1 ,9,3352,7607
110.4,1,12291,10275,628,9,一梯三户,1990,2,4,20.0 ,5,3438,5840
71.6,2,7688,9352,432,9,一梯八户,1990,2,4,22.7 ,3,5144,3464
102.1,2,9245,10011,360,9,一梯四户,1990,2,3,24.8 ,1,6074,4089
80.4,2,7215,14149,305,9,一梯四户,1990,2,6,13.2 ,5,3487,3811
80.9,2,13506,6941,328,8,一梯六户,1990,2,1,12.4 ,3,4138,3004
70,1,11455,12550,680,9,一梯七户,1990,2,1,13.8 ,1,4581,3005
91,2,10948,9222,330,9,一梯七户,1990,2,1,9.6 ,2,3274,2925
67.9,2,6975,8085,275,9,一梯四户,1990,2,1,21.8 ,7,3520,5175
62.8,2,6810,11139,170,8,一梯六户,1990,2,3,8.8 ,5,2749,
73.1,2,8560,9204,140,9,一梯四户,1990,2,2,16.7 ,1,3470,5158
67.3,2,7730,10185,275,9,一梯四户,1990,2,2,23.0 ,7,4425,4680
91.8,1,8922,11415,268,9,一梯两户,1990,2,4,22.7 ,3,3337,6809
67,1,6556,11476,183,8,一梯两户,1990,2,4,23.6 ,3,3227,7015
74.8,1,8903,9293,157,9,一梯四户,1990,2,4,16.0 ,3,3236,4461
61.6,2,5718,9260,132,9,一梯六户,1990,3,3,16.8 ,9,5718,5024
82.6,2,10869,10686,165,7,一梯四户,1990,3,2,26.5 ,3,10869,8271
82.6,2,7638,11477,150,7,一梯四户,1990,3,2,25.0 ,3,7638,7950
102,1,9430,13300,600,12,一梯两户,1990,2,3,0.0 ,9,0,0
96,2,11660,7950,438,9,一梯五户,1990,2,1,0.0 ,9,0,0
81.5,2,8650,8760,473,8,一梯两户,1990,2,4,0.0 ,9,0,0
93.5,2,9079,10440,539,6,一梯两户,1990,2,3,13.7 ,7,4150,3260
110,1,13710,11530,499,13,两梯两户,1990,2,2,0.0 ,9,0,0
112.1,2,7650,14200,765,8,一梯两户,1990,2,3,0.0 ,9,0,0
89.5,1,9517,11779,225,9,一梯两户,1990,2,3,16.6 ,1,3010,5509
86.3,2,9554,10486,355,5,一梯二梯,1990,1,3,16.8 ,3,3233,5148
112.5,2,1150,10500,500,9,一梯四梯梯,1990,2,7,27.1 ,6,5047,5373
76,1,10429,6867,338,9,一梯四户,1990,2,2,21.4 ,3,6501,3830
80.5,1,6085,10633,165,9,一梯九梯,1990,2,4,15.3 ,5,4688,3382
82,1,11035,7310,255,20,两梯九户,1991,2,4,29.4 ,9,9560,3270
76.3,2,6260,11020,318,8,一梯三户,1991,2,4,9.1 ,5,3137,2931
79,1,9896,7780,370,7,一梯两户,1991,1,2,15.3 ,3,3452,4415
101.1,2,12049,11198,525,7,一梯两户,1991,2,3,17.7 ,3,3125,5634
82,2,8794,8639,460,9,一梯五户,1991,2,2,23.5 ,7,6979,3367
84.1,1,9318,7818,350,12,一梯四户,1991,1,4,11.8 ,9,3676,3219
165,2,9557,16627,500,6,一梯两户,1991,3,1,48.0 ,3,3799,5981
97.8,2,5940,18130,185,8,一梯十二户,1992,1,3,21.7 ,7,3490,6221
97.8,2,5940,18130,185,8,一梯十二户,1992,1,3,21.7 ,7,3490,6221
59.3,2,6102,9619,258,9,一梯四户,1992,1,4,11.3 ,7,2937,3851
91.3,1,8021,10333,570,18,两梯八户,1992,1,1,18.4 ,3,3777,4863
96,2,10177,9113,328,8,一梯四户,1992,1,1,28.2 ,3,3681,8000
98,2,13096,9853,450,9,一梯六户,1992,1,2,33.9 ,7,4294,8307
98,2,13096,9853,450,9,一梯六梯,1992,1,2,33.9 ,7,4294,8307
115.7,2,15301,8821,520,9,一梯九梯,1992,1,2,28.7 ,7,5056,5334
90.3,2,9401,10295,700,10,一梯四户,1992,1,2,35.1 ,3,3187,10295
86,2,13888,7332,115,7,一梯四户,1992,3,3,25.2 ,3,3640,6963
84.5,2,10670,8489,398,9,一梯八户,1992,2,3,28.2 ,7,4013,5477
108.3,2,12515,10025,540,9,一梯三户,1992,2,3,26.4 ,1,4320,5910
88,2,10035,9795,280,9,一梯四户,1992,2,3,29.0 ,3,3200,7155
71.5,1,9482,10872,369,8,一梯两户,1992,2,3,26.6 ,3,3051,6451
